GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
105370042	0.01455	0	0.0294	0.01486	0	0	0	0.01456	0	0	0
196385	0.1146	0.04779	0.2056	0.03079	0.102	0.1014	0.03899	0.1871	0.06444	0.1578	0.1014
105370044	0	0.01321	0.01348	0	0.01347	0	0	0	0	0	0.02638
80212	7.51	6.497	5.055	7.474	3.816	3.316	6.408	7.452	7.267	6.678	9.275
100533183	0.9772	0.7994	1.178	2.216	1.53	7.395	8.874	1.346	3.285	2.096	1.498
144348	27.48	18.92	27.57	54.51	23.16	39.95	34.65	20.7	57.46	26.05	26.9
144347	0.02409	0.03182	0.01623	0	0.3407	5.25	6.942	0.2251	0.8091	0.9584	0.04765
9612	37.25	8.865	25.88	48.41	32.47	33.87	48.78	43.05	23.06	20.84	20.03
102466204	0.3489	0.3457	0.7051	1.069	0.7049	0.6902	0.6942	0.3493	0.3551	0.3413	0.345
105370047	0.09845	0.05852	0.02653	0.181	0.03978	0.09088	0.05223	0.05913	0.1002	0.1027	0.09736
101927436	0	0	0	0	0	0	0	0	0	0	0
949	16.56	1.782	1.77	7.275	1.627	0.8917	14.6	1.89	3.049	2.007	2.15
105370050	0	0	0	0	0	0	0.03605	0	0	0.03545	0
107984444	0	0	0	0	0	0	0.08183	0	0	0.08047	0.08134
105370051	0	0	0.0943	0.03813	0	0	0	0.03737	0.019	0	0.07383
7316	711.1	289	720.6	815.1	365.2	442.7	627.5	430.6	652.3	443.7	412.8
100847004	0	0	0	0	0	0	0.1904	0	0	0	0
100189232	0	0	0	0.3069	0	0	0	0	0	0	0
100189343	0.3005	0	0	0	0	0	0	0	0	0	0
100009606	0	0	0	0	0	0	0	0	0	0	0
100189347	0	0	0	0	0.3035	0	0.5978	0	1.223	0	0.5942
100189339	0	0.2977	0	0	0.3035	0	0	0.3008	0	0.2939	0.2971
57647	15.92	5.305	7.051	14.06	11.9	9.428	6.767	5.786	8.559	4.976	3.429
140707	3.313	3.175	2.195	2.487	4.761	3.7	2.255	1.858	3.245	2.148	2.321
102659353	2.446	2.413	1.743	1.673	3.497	2.797	1.575	1.432	2.367	1.474	1.717
105370052	0	0	0	0	0	0	0	0	0	0	0
65985	8.894	6.645	11.95	4.407	4.639	14.67	13.88	10.6	15.46	6.411	7.877
105370053	0	0	0	0	0	0	0	0	0	0	0
114795	0.08099	0.697	9.207	0.02469	0.01221	0	0.01563	0.3134	0.2338	0.1147	1.584
105370054	0	0	0.02744	0	0	0	0	0	0	0	0
107984445	0	0	0.004866	0	0	0	0	0	0	0	0
105370055	0	0	0	0	0	0	0	0	0	0	0
400084	0	0.07206	0.2835	0	0	0.02055	0	0.04161	0	0.01016	0
105370057	0	0.00858	0.06125	0	0.008748	0.008565	0	0.04335	0	0.01694	0
105370058	0	0	0	0	0	0	0	0	0	0	0
105370056	0	0	0	0	0	0.02815	0	0	0	0	0
101927464	0	0	0	0	0	0	0	0	0	0	0
107984447	0	0	0	0	0	0	0	0	0	0	0
107984446	0	0	0	0	0	0	0	0	0	0.02272	0
105379613	0	0.3661	0.2376	0	0	0	0	0.01681	0	0	0.01661
101927531	0	0.4692	0.2785	0	0	0	0	0.02586	0	0	0.03406
107984448	0	0.06498	0.1193	0	0	0.02595	0	0	0	0	0
283435	0	0.06953	0.03546	0	0	0.01735	0	0	0	0	0
105370059	0	0.1345	0	0	0	0	0	0	0	0	0.08951
100128554	0	0.0699	0.008911	0	0	0.02617	0	0	0	0.008627	0.008721
100996671	0	0	0	0.02287	0.02262	0	0	0	0	0	0
105370060	0.009253	0	0	0	0	0.03661	0	0.009263	0	0	0
387895	5.887	0	0.0352	6.12	8.868	8.855	0.6238	2.232	0	0	0
100507206	0.1531	0.01896	0.009668	0.4006	0.1546	0.1419	0.02855	0.02873	0	0	0
440117	0	0	0	0	0	0	0	0	0	0	0
105370061	0	0	0	0	0	0	0	0	0	0	0
101927592	0	0	0.08174	0.347	0	0	0	0.0162	0	0.01583	0
105370063	0	0	0	0.03017	0	0	0.007347	0	0	0	0
107984449	0.03561	0.03528	0.008995	6.465	0.1439	0.03522	0.008856	0.03565	0.07249	0.2003	0.008804
107984450	0.02292	0.07946	0.01158	1.276	0.0463	0.068	0.0342	0.04588	0.03499	0.06725	0.1246
105370062	0.2255	0.03603	0.0147	5.304	0.2425	0.05756	0.02171	0.1092	0.1925	0.3487	0.1151
105370064	0	3.297	0.531	0.08945	0.04424	0.08662	0.3485	2.06	2.763	1.714	16.2
105370065	0	54.18	0.02376	41.31	0.04751	5.256	6.971	15.25	1.699	5.751	1.023
101927616	0	0.05031	0	0.1556	0	0	0	0	0	0	0.02511
105370066	0	0	0	0.0152	0	0	0	0	0.03029	0	0.02943
105370067	0	0.03383	0.1035	0.06974	0	0	0.02717	0.02051	0.00695	0.00668	0
101927637	0	0	0	0	0	0	0	0	0	0	0
105370068	0	0	0.04945	0.3999	0	0	0	0.049	0	0	0
105370069	0	0	0	0.1641	0	0	0	0	0	0	0
400087	0	0	0.02164	0	0	0	0	0	0	0	0
104472718	0	0	0	0.03094	0	0	0	0	0	0.05928	0
100862680	0	0	0	0	0	0	0	0	0	0	0
105370070	0	0	0	0	0	0	0	0	0	0	0
105370071	0	0	0	0	0	0	0	0	0	0	0
100996679	0	0	0	0	0	0	0	0	0	0.03036	0
101927694	0	0	0	0	0	0	0	0	0	0.03834	0
107987176	0	0	0	0	0	0	0	0	0	0	0
92293	0	0	0	0	0	0	0	0	0.01139	0	0
100500817	0	0	0	0	0	0	0	0	0	0	0
121260	4.965	4.219	9.682	13.16	9.833	7.496	10.51	6.79	9.913	6.827	10.08
100128276	0	0	0	0	0	0	0	0	0	0	0
144423	0.00898	0	0.004537	0	0	0	0	0	0.00914	0	0
105370073	0	0	0	0	0	0	0	0	0	0	0
121256	0	0.006987	6.05	0.003601	3.872	0	0	0	0	0.0207	0
283352	0	0	0	0	0	0	0	0	0	0	0
101927735	0	0	0.3903	0	0.1254	0	0	0	0	0	0
105370074	0	0	0.008029	0	0.004013	0	0	0	0	0	0
105370076	0	0	0	0	0	0	0	0	0	0	0
100190940	0	0	0	0.006881	0	0	0	0	0	0	0
105370077	0	0	0	0	0	0	0	0	0	0	0
105370078	0	0	0	0	0	0	0	0	0	0	0
440119	0	0	0	0.04205	0	0	0	0	0	0	0
11211	0.03955	0	0	0	0	0.006519	0	0	0	0	0
107984480	0	0	0	0	0	0	0	0	0	0	0
101927786	0	0	0	0.007714	0	0	0	0	0	0	0
9271	0	0	0	0.2754	0	0	0.004968	0.009998	0.005083	0.1221	0
23504	0	0.006334	0	0.03701	0.004306	0	0.00212	0.008535	0.08026	0.07923	0.1012
105370079	0	0	0	0	0	0	0	0	0	0	0
105370080	0	0	0	0	0.0102	0.009989	0.01005	0	0	0	0
107984451	0.01213	0.00801	0.004085	0.01239	0.008168	0.003999	0.0563	0	0.00823	0.01977	0
2054	3.904	3.143	4.512	5.754	3.775	4.072	3.792	4.246	5.436	4.316	5.699
5901	251	102.3	127.7	185.3	206.5	144	132	92.85	143.6	92.62	90.55
283383	0.002202	0.002182	0.002225	0.04273	0.002224	0	0.002191	0	0.65	0.1336	0.002178
105755954	0	0	0	0	0.0277	0	0	0	0.5023	1.904	0
107984452	0	0	0	0	0	0	0	0	0	0	0
